"","dimension","Birth","Death"
"175",0,0,0.0651297597109033
"176",0,0,0.041672561716314
"177",0,0,0.0382293408261246
"178",0,0,0.0513418474540993
"179",0,0,0.0474879395215248
"180",0,0,0.0268524263335737
"181",0,0,0.0458487611610172
"182",0,0,0.0280274383417393
"183",0,0,0.0150216510410807
"184",0,0,0.00737922082607642
"185",0,0,0.00885445085818426
"186",0,0,0.0052845813457643
"187",0,0,0.101903863027856
"188",0,0,0.110192165329482
"189",0,0,0.0259184451694156
"190",0,0,0
"191",0,0,2
"192",0,0,0.0666919980207521
"193",0,0,0.0971091061641492
"194",0,0,0.08222121380763
"195",0,0,0.0420581050452823
"196",0,0,0.088674307440205
"197",0,0,0.0808999660074094
"198",0,0,0.0220323852544385
"199",0,0,0.00853072681545951
"200",0,0,0.0140248065940319
"201",0,0,0.0193575127534505
"202",0,0,0.0470609572788315
"203",0,0,0.0710681904933564
"204",0,0,0.0684926426705818
"205",0,0,0.046269135500893
"206",0,0,0.039682904379594
"207",0,0,0.0140140822032697
"208",0,0,0.0367808985752116
"209",0,0,0.044069056037088
"210",0,0,0.0821187731277081
"211",0,0,0
"212",0,0,2
"213",0,0,0.068925617878986
"214",0,0,0.0500508960958743
"215",0,0,0.0759373590533671
"216",0,0,0.0360054509762064
"217",0,0,0.0607633384533799
"218",0,0,0.0374961331339646
"219",0,0,0.031388166560027
"220",0,0,0.0512881370299215
"221",0,0,0.0510021509350341
"222",0,0,0.0480287934472645
"223",0,0,0.0571625751694236
"224",0,0,0.0411121794605929
"225",0,0,0.0869790003391623
"226",0,0,0.0249720844144016
"227",0,0,0.0319506259719587
"228",0,0,0.0268479049461965
"229",0,0,0.0267696096348079
"230",0,0,0.0263164682280887
"231",0,0,0.0921663984324005
"232",0,0,0
"233",0,0,2
"234",0,0,0.0879074428020745
"235",0,0,0.0669155146434667
"236",0,0,0.120316023870472
"237",0,0,0.0539760659922525
"238",0,0,0.022945657541243
"239",0,0,0.0701779260166614
"240",0,0,0.107218589806059
"241",0,0,0.0529596261316109
"242",0,0,0.028133812397185
"243",0,0,0.0434242535917429
"244",0,0,0.0532909016624789
"245",0,0,0.0784872677572611
"246",0,0,0.269911432325495
"247",0,0,0.269877381971887
"248",0,0,0.0526520066094351
"249",0,0,0.0753280936968406
"250",0,0,0.0641300280679808
"251",0,0,0.104545030489259
"252",0,0,0.0611000302782249
"253",0,0,0
"254",0,0,2
"255",0,0,0.0778672646238456
"256",0,0,0.100623023210397
"257",0,0,0.0531478927145752
"258",0,0,0.0530226338463113
"259",0,0,0.091384456008667
"260",0,0,0.0943922332610051
"261",0,0,0.0747075130090676
"262",0,0,0.0538472738400005
"263",0,0,0.0668760592439477
"264",0,0,0.106720001874063
"265",0,0,0.0290604507879695
"266",0,0,0.197043767980619
"267",0,0,0.195177031691744
"268",0,0,0.0807530339987297
"269",0,0,0.140001683204167
"270",0,0,0.0941037990731511
"271",0,0,0.0539308714930512
"272",0,0,0.00897431891566151
"273",0,0,0.0646510788773088
"274",0,0,0
"275",0,0,2
"276",0,0,0.0725756005831161
"277",0,0,0.109343518326419
"278",0,0,0.0845848219245037
"279",0,0,0.0492600162403546
"280",0,0,0.0463181918904441
"281",0,0,0.038679506201605
"282",0,0,0.0439771497484773
"283",0,0,0.0447283198879636
"284",0,0,0.0567426823475944
"285",0,0,0.0212289801921807
"286",0,0,0.0294828509476272
"287",0,0,0.0386662902280527
"288",0,0,0.0372576502211291
"289",0,0,0.0341208938921594
"290",0,0,0.0364225273697474
"291",0,0,0.0356236059376363
"292",0,0,0.00696400028719126
"293",0,0,0.0102630307414525
"294",0,0,0.0307023289018928
"295",0,0,0
"296",0,0,2
"297",0,0,0.125685084636165
"298",0,0,0.072949544206938
"299",0,0,0.0459396615137726
"300",0,0,0.0638507235667694
"301",0,0,0.068569119871849
"302",0,0,0.0614241035750624
"303",0,0,0.0406441385688023
"304",0,0,0.0560263304170459
"305",0,0,0.0318173930421711
"306",0,0,0.0393584361986093
"307",0,0,0.0170108700541742
